Date,Open,High,Low,Close,Volume
2010-03-11,31540536779.328640,31540536779.328640,30657644680.533333,30657644680.533333,0
2010-03-12,30642424537.861012,31304596290.870995,30109647206.541878,31289372398.933334,0
2010-03-15,32179871192.102139,32598484874.301491,31943926873.004017,32423429188.266666,0
2010-03-16,30254248789.604897,30254248789.604897,29782356787.200001,29782356787.200001,0
2010-03-17,29782356787.200001,29782356787.200001,29782356787.200001,29782356787.200001,0
2010-03-18,29782356787.200001,29782356787.200001,29782356787.200001,29782356787.200001,0
2010-03-19,31030594800.443798,31068649335.466667,31030594800.443798,31068649335.466667,0
2010-03-22,31624254558.294529,31624254558.294529,28518912273.066666,28518912273.066666,0
2010-03-23,28024189633.079269,28024189633.079269,27126075460.806648,27156521506.133335,0
2010-03-24,27118465306.281361,27864356181.333332,27103243149.563290,27864356181.333332,0
2010-03-25,27095634557.338276,28267749429.414352,26829245915.838249,28229693166.933334,0
2010-03-26,27468580411.690353,29287641378.757690,27339191195.855629,28777696460.799999,0
2010-03-29,28922303867.038998,28922303867.038998,27765411296.688122,27864356181.333332,0
2010-03-30,27727359726.933334,27727359726.933334,27727359726.933334,27727359726.933334,0
2010-03-31,28062247609.073933,28062247609.073933,26958633387.991577,27788247040.000000,0
2010-04-01,26372575253.543812,28282968970.895298,26045296275.967266,27925245678.933334,0
2010-04-05,25687570587.096966,25687570587.096966,25223292238.107868,25276568917.333332,0
2010-04-06,25778904325.213993,25976794088.377518,25390736742.988045,25687571387.733334,0
2010-04-07,26052911334.126640,26136634080.235771,25040631630.694778,25192853230.933334,0
2010-04-08,25649515538.681011,27049964327.368610,25649515538.681011,26501963229.866665,0
2010-04-09,26258409071.130222,26258409071.130222,26174686337.842518,26182298282.666668,0
2010-04-12,25375517605.100452,25375517605.100452,24279515297.143875,24918849399.466667,0
2010-04-13,24994964032.301167,25040630510.329525,24439350886.400002,24439350886.400002,0
2010-04-14,22787734942.428406,22787734942.428406,21181784170.114307,21273118856.533333,0
2010-04-15,21158950115.960598,21432950689.531181,20709893860.935989,21067615436.799999,0
2010-04-16,21524280634.377426,22437616906.851158,21524280634.377426,21836337425.066666,0
2010-04-19,22399567750.290573,23853295342.281273,22087512592.661480,22582235409.066666,0
2010-04-20,21859176705.951588,22102732987.544487,21562342000.647682,21577564160.000000,0
2010-04-21,20930611700.424870,22871449418.027321,20930611700.424870,22353892693.333332,0
2010-04-22,23023674752.597694,23632566191.976292,20816446532.266666,20816446532.266666,0
2010-04-23,21349230076.811813,21638452836.990723,20709895918.933334,20709895918.933334,0
2010-04-26,20169504325.301834,20778394146.133335,20161892379.862469,20778394146.133335,0
2010-04-27,21311175782.317101,22833402129.066666,21052395606.052990,22833402129.066666,0
2010-04-28,21767845050.103115,23442294935.796589,21615623435.375721,22841015227.733334,0
2010-04-29,23183514694.954041,23183514694.954041,21082842715.891335,21554731417.599998,0
2010-04-30,22072287164.608826,24515460027.733334,22072287164.608826,24515460027.733334,0
2010-05-03,23647791251.062603,23754346356.757950,22277786643.245800,22620287795.200001,0
2010-05-04,23404234162.473625,26425852327.253151,23404234162.473625,25596240418.133335,0
2010-05-05,30779414941.900394,30779414941.900394,25215678445.939186,26425847534.933334,0
2010-05-06,26905356670.534744,34242489064.569374,21311174423.531216,28191638596.266666,0
2010-05-07,30086809345.336887,33351985635.299061,28511304726.151718,30094419558.400002,0
2010-05-10,25839801253.930775,26631358775.944359,24949297093.215141,24964519253.333332,0
2010-05-11,26349737354.900570,26456294171.850716,24180565545.885212,25459235225.599998,0
2010-05-12,24781852629.560532,24781852629.560532,23206347844.266666,23206347844.266666,0
2010-05-13,24241456449.194805,25451625679.421574,23046509375.401077,25124348450.133335,0
2010-05-14,26501968057.300671,28777697320.461876,26501968057.300671,27407692595.200001,0
2010-05-17,27955695802.506557,28929920993.105869,25969190886.396217,26151856810.666668,0
2010-05-18,25756072121.182148,28663524766.335342,25504903943.574379,28404746376.533333,0
2010-05-19,28952748576.174438,29919361602.826962,27080409418.618343,28008967918.933334,0
2010-05-20,30284699788.671196,31776481704.757385,28549361606.041222,30307533892.266666,0
2010-05-21,32263594593.576736,33488987884.990288,26692244718.464748,28191638596.266666,0
2010-05-24,28100302763.092533,29736697733.112389,27415302191.126671,29721473843.200001,0
2010-05-25,31000146951.248028,33108428916.400742,29082141103.464478,29112585420.799999,0
2010-05-26,27666467571.045620,29409415845.991020,26456298267.462864,29249584059.733334,0
2010-05-27,27202193321.858177,27202193321.858177,24781852613.656326,24797074773.333332,0
2010-05-28,24972125233.664089,26874908649.520317,24797069568.146805,25953962120.533333,0
2010-06-01,26852073113.115398,27750187225.337929,25360291465.937359,27689298602.666668,0
