Date,WeekEnd,RSI,Regime
2010-03-11,2010-03-06,67.8070,TOP
2010-03-12,2010-03-06,67.8070,TOP
2010-03-15,2010-03-13,68.1769,TOP
2010-03-16,2010-03-13,68.1769,TOP
2010-03-17,2010-03-13,68.1769,TOP
2010-03-18,2010-03-13,68.1769,TOP
2010-03-19,2010-03-13,68.1769,TOP
2010-03-22,2010-03-20,69.7904,TOP
2010-03-23,2010-03-20,69.7904,TOP
2010-03-24,2010-03-20,69.7904,TOP
2010-03-25,2010-03-20,69.7904,TOP
2010-03-26,2010-03-20,69.7904,TOP
2010-03-29,2010-03-27,70.2540,TOP
2010-03-30,2010-03-27,70.2540,TOP
2010-03-31,2010-03-27,70.2540,TOP
2010-04-01,2010-03-27,70.2540,TOP
2010-04-05,2010-04-03,72.7063,TOP
2010-04-06,2010-04-03,72.7063,TOP
2010-04-07,2010-04-03,72.7063,TOP
2010-04-08,2010-04-03,72.7063,TOP
2010-04-09,2010-04-03,72.7063,TOP
2010-04-12,2010-04-10,74.0314,TOP
2010-04-13,2010-04-10,74.0314,TOP
2010-04-14,2010-04-10,74.0314,TOP
2010-04-15,2010-04-10,74.0314,TOP
2010-04-16,2010-04-10,74.0314,TOP
2010-04-19,2010-04-17,76.4675,TOP
2010-04-20,2010-04-17,76.4675,TOP
2010-04-21,2010-04-17,76.4675,TOP
2010-04-22,2010-04-17,76.4675,TOP
2010-04-23,2010-04-17,76.4675,TOP
2010-04-26,2010-04-24,67.6334,TOP
2010-04-27,2010-04-24,67.6334,TOP
2010-04-28,2010-04-24,67.6334,TOP
2010-04-29,2010-04-24,67.6334,TOP
2010-04-30,2010-04-24,67.6334,TOP
2010-05-03,2010-05-01,49.2856,BOTTOM
2010-05-04,2010-05-01,49.2856,BOTTOM
2010-05-05,2010-05-01,49.2856,BOTTOM
2010-05-06,2010-05-01,49.2856,BOTTOM
2010-05-07,2010-05-01,49.2856,BOTTOM
2010-05-10,2010-05-08,54.5547,TOP
2010-05-11,2010-05-08,54.5547,TOP
2010-05-12,2010-05-08,54.5547,TOP
2010-05-13,2010-05-08,54.5547,TOP
2010-05-14,2010-05-08,54.5547,TOP
2010-05-17,2010-05-15,47.2806,BOTTOM
2010-05-18,2010-05-15,47.2806,BOTTOM
2010-05-19,2010-05-15,47.2806,BOTTOM
2010-05-20,2010-05-15,47.2806,BOTTOM
2010-05-21,2010-05-15,47.2806,BOTTOM
2010-05-24,2010-05-22,49.8968,BOTTOM
2010-05-25,2010-05-22,49.8968,BOTTOM
2010-05-26,2010-05-22,49.8968,BOTTOM
2010-05-27,2010-05-22,49.8968,BOTTOM
2010-05-28,2010-05-22,49.8968,BOTTOM
2010-06-01,2010-05-29,48.1692,BOTTOM
2010-06-02,2010-05-29,48.1692,BOTTOM
2010-06-03,2010-05-29,48.1692,BOTTOM
2010-06-04,2010-05-29,48.1692,BOTTOM
2010-06-07,2010-06-05,49.6776,BOTTOM
2010-06-08,2010-06-05,49.6776,BOTTOM
2010-06-09,2010-06-05,49.6776,BOTTOM
2010-06-10,2010-06-05,49.6776,BOTTOM
2010-06-11,2010-06-05,49.6776,BOTTOM
2010-06-14,2010-06-12,54.8539,TOP
2010-06-15,2010-06-12,54.8539,TOP
2010-06-16,2010-06-12,54.8539,TOP
2010-06-17,2010-06-12,54.8539,TOP
2010-06-18,2010-06-12,54.8539,TOP
2010-06-21,2010-06-19,48.9145,BOTTOM
2010-06-22,2010-06-19,48.9145,BOTTOM
2010-06-23,2010-06-19,48.9145,BOTTOM
2010-06-24,2010-06-19,48.9145,BOTTOM
2010-06-25,2010-06-19,48.9145,BOTTOM
2010-06-28,2010-06-26,41.0006,BOTTOM
2010-06-29,2010-06-26,41.0006,BOTTOM
2010-06-30,2010-06-26,41.0006,BOTTOM
2010-07-01,2010-06-26,41.0006,BOTTOM
2010-07-02,2010-06-26,41.0006,BOTTOM
2010-07-06,2010-07-03,48.1631,BOTTOM
2010-07-07,2010-07-03,48.1631,BOTTOM
2010-07-08,2010-07-03,48.1631,BOTTOM
2010-07-09,2010-07-03,48.1631,BOTTOM
2010-07-12,2010-07-10,47.3567,BOTTOM
2010-07-13,2010-07-10,47.3567,BOTTOM
2010-07-14,2010-07-10,47.3567,BOTTOM
2010-07-15,2010-07-10,47.3567,BOTTOM
2010-07-16,2010-07-10,47.3567,BOTTOM
2010-07-19,2010-07-17,52.6056,TOP
2010-07-20,2010-07-17,52.6056,TOP
2010-07-21,2010-07-17,52.6056,TOP
2010-07-22,2010-07-17,52.6056,TOP
2010-07-23,2010-07-17,52.6056,TOP
2010-07-26,2010-07-24,51.7973,TOP
2010-07-27,2010-07-24,51.7973,TOP
2010-07-28,2010-07-24,51.7973,TOP
2010-07-29,2010-07-24,51.7973,TOP
2010-07-30,2010-07-24,51.7973,TOP
2010-08-02,2010-07-31,54.6492,TOP
2010-08-03,2010-07-31,54.6492,TOP
2010-08-04,2010-07-31,54.6492,TOP
